storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,off,0.0,1,1,0,17,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,18,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,19,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,20,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,21,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,22,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,23,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,24,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,25,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,26,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,27,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,28,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,29,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,30,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,31,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,32,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,33,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,34,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
